State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
UNITED STATES,13117677381,16253029349,19234827272,22127790292,28367942859,34427772456,41192010123,53673008343,62936891576,69732837543,69496678611,91911080944,1.04122E+11,1.10517E+11,1.21721E+11,1.23676E+11
Washington,2040480542,1900659005,2928721420,3922748622,3269109238,2783827315,4288361119,5281905470,7311238669,8309842343,9113475809,10305016874,11238767551,14156985285,16710678713,20689637743
California,2394723120,3546020626,4676055993,4482780949,5442742319,6846569292,7821342315,9970700069,10566024437,10981739113,9744452187,12474252241,14216541966,13969451382,16281909460,16050010176
Texas,899734807,1452319128,1577843301,2051551556,3057698697,4461433588,4944880580,6641463792,8278906029,8421576434,8906958887,10274197566,10954394475,10305009328,10847287608,10947592596
Louisiana,663751021,1064073172,682723378,781372522,2117107666,2194827146,1950149673,2230060406,2652978808,3480214089,5395014975,6508968035,7281308476,9310706978,7949040103,8438883476
Illinois,437952920,533466254,700655839,660773533,710465572,925472624,1204266495,1521136550,1958805244,2512807774,2470309137,3177002182,3895848528,4142319873,5694544850,4714008061
New York,584828903,777819073,1036173266,1117943406,1442416928,1882004757,2067883129,2179309574,2504762319,2815127627,2440783550,3366674731,4458937245,4286009432,5032947734,4290507924
Oregon,150562983,304961246,452551295,679632451,574884977,793952234,807323536,1396055882,1426352542,2468784349,2969546938,4060763303,3177213385,2661707216,3380678723,4264840885
South Carolina,139021827,127140423,171983525,236506694,286549882,482423397,622384132,702637655,623534970,790227383,867201660,2156854999,3004731641,3250160210,4878450149,4228389229
Ohio,244756283,292154664,449613992,510157002,642993970,964644167,939394560,1303825071,1498252418,1818908552,1886249748,2287833088,2741847946,2839269186,3373644894,3881651849
Michigan,198241287,211629058,251282625,284028915,366358841,608845159,699245138,1015968875,1313682893,1287601558,1333294229,2181214229,2691414355,3266990775,4135721209,3403937136
Alabama,102102842,160473477,209763057,225602923,355196377,390400940,468358623,662094434,808521345,817147134,801095298,1910683193,2337076737,2389479073,2468189824,3126670408
Georgia,200399057,327033117,390035551,415624359,638548660,799526543,979587711,1083980299,1599693966,2002011318,1768755084,2386703201,3185182201,3684078246,3728243504,3082051554
North Carolina,222442721,350031569,393859080,365807724,648957673,648143866,776284334,1340300651,1769007978,1942944385,1785305639,2238213926,2631468883,2539305083,2693642638,2661378529
Pennsylvania,263344576,275927062,319651288,425130723,563090094,784126753,933178516,1264316775,1293499004,1630498524,1540207933,2679595865,3575908299,2858044693,2926300637,2398383171
Tennessee,111406931,156557899,184056016,337799734,636102501,1214114696,1418831204,1883366563,1135299461,1363939489,1293857643,1846248488,1993070919,2179584240,2225039746,2333992810
Massachusetts,331738710,502043763,425349932,384716797,571704643,894394025,883726876,1291236404,1375076549,1563296229,1371731805,2195196151,2088010546,1876540569,1976778713,2290935906
Virginia,173645369,197762819,262539769,368769261,520459852,608543711,721829286,942661003,1103749465,1163778322,1175110197,1273739654,1756505988,2003573283,1871475213,2000142373
Minnesota,168558285,206740643,216596930,304553888,377381231,409849014,742079826,886092646,1042953837,1022253118,1037147501,1571464972,1940438985,2027711588,1964143851,1801259896
Kentucky,63546670,63864870,83146292,129218351,233678181,319575742,392800476,416688214,578310919,604183001,736882391,838611140,911380412,1054655052,1350861018,1653540616
Wisconsin,133571288,177383269,319569594,345021036,548314212,580175653,673256325,870111254,1178914538,1230797313,1097618968,1333419496,1383400575,1547348491,1658711119,1560985127
Alaska,110862169,103174043,102446718,147760078,153859674,241333499,337428654,474279855,715666333,733090679,586229677,921276201,1477185272,1353509982,1236228045,1466861476
Indiana,135036026,166542373,200289699,187308617,234150512,294494785,419645023,559243408,758657540,929503424,868952445,1089652857,1173094766,1309127103,1345801521,1436395708
New Jersey,190088484,258835415,397737690,423122522,506379062,576511172,595005527,825128269,901519293,980954676,1058391236,1389710993,1858384270,1424498307,1579925023,1425370024
Kansas,61052531,125868094,258880717,199950326,175412750,210380184,313664402,359940110,489094709,510983871,353008506,526936040,668948637,1137751725,1703333091,1183713509
Florida,739674491,569253787,514201463,733538867,649069606,534279985,708072090,1011673654,941063608,871583088,1029044285,1134717363,1341422070,1267061969,1236481651,1160026482
Arizona,193192671,152142193,141859411,381541991,739848187,629003336,649845180,1196296678,1317118960,1254539127,821766006,1037149359,1003958364,1252179673,1079923163,1019115907
Puerto Rico,32149061,47059762,38061606,62776729,86898603,78076464,96783354,124832002,228244082,184968877,263438630,617125297,609832588,693145396,705656799,953535472
Iowa,35795167,45028974,83340306,78305603,93046226,128200618,192613919,243635795,278224471,369559312,367239553,598935997,574476981,751430582,611376937,946360620
Connecticut,65371148,77183656,119468305,119167616,157367261,204985545,337862916,369258406,565076328,676097188,752832457,1024125764,983013254,1008860346,910991456,907301045
Utah,17336202,32587732,40629406,64142129,113903662,124024745,321373592,245080671,386626247,527021469,542291070,577591853,523920842,607561898,1412675755,891716624
Missouri,52141449,75947979,108302336,128982242,259695263,366017275,521249945,761503464,1015604808,944414496,688178778,986460144,1161374650,1141199463,849747626,872445283
Unallocated,1192743008,1175226071,526667951,417334898,538199971,395139336,340044004,401836207,421904608,486833821,418061911,1123627420,703499301,694774115,740114076,745122560
Maryland,103506722,80831018,125418825,137842289,193643241,225169321,284905027,307632601,445814473,569845426,566053771,573616659,666940164,559037631,562629646,731811906
Colorado,127417290,164643355,168536270,153113103,213225882,357061354,357099367,583200677,488086706,508226927,439544519,558431283,636813755,675889454,658606980,654843016
Mississippi,67602973,73862816,89704377,137814605,109187871,116020655,165197567,267873852,349350254,379396192,292873807,405432444,502151730,862775597,669682127,644183631
Nebraska,22819453,51947281,68634072,75587088,83515542,87684616,111277353,180619553,189687500,198612583,209289378,279218755,380570572,487323213,588233803,610290257
Nevada,10873917,9308202,13614293,20069066,24387036,47266549,137483259,203229580,351680604,372211865,210822821,455826952,424768272,560788308,592805790,584252675
West Virginia,27466955,35616709,120435645,144898415,132394125,128987398,135475955,187009928,254710114,251832539,296107231,357043569,420173025,887286692,613327918,549490885
Idaho,34119912,57158310,68470037,87314731,106581654,170477815,318522711,593043352,722738248,393997609,386085657,445277216,401688863,467884082,468120596,481655801
Delaware,15863455,15849007,31146872,56789330,76633914,75056567,113735505,149546186,219568710,284124987,297795069,362325925,466709965,413252059,449405605,456012439
Arkansas,15193839,29340613,38460445,43621521,140487434,90818847,144464264,174813826,307133600,320633550,235412655,335601404,413997218,718603427,683491341,437354557
New Hampshire,21927949,29867915,48551885,41902788,73247994,101973482,115595186,182799339,272390742,328722863,211501939,411924621,338879444,273078242,265908307,298542781
Vermont,6218414,13229187,16247977,21361866,31904328,83211821,212279997,189227748,151490503,194116859,220958315,584644945,787198672,583966804,491036877,274869724
Oklahoma,31330612,41540565,43733149,48971842,64397767,83908065,94508654,90211634,122154551,198234691,136568454,243287901,368069337,332803605,428223386,273496793
Hawaii,2041407,4972969,13420193,8011441,12805655,33957180,139499232,26320101,29163181,75368049,45312554,63236591,100205849,71459792,88890794,221174936
Maine,35933635,23161298,34284126,48235846,85153544,103409380,101346851,152517556,139200662,121675097,175470108,333297127,274709904,247438602,222994195,183872121
Rhode Island,10806286,17516688,32302888,31769518,35773277,45710041,47545211,60931373,57954121,67870315,69314081,77828418,76482593,89754581,97751917,115841904
Montana,1315113,4970513,6011749,5131286,10248592,15366998,26928514,31912560,43577044,61270469,60468383,122879496,119166398,105432476,93273360,106274493
New Mexico,220408162,118826616,34727789,47713186,206759262,220974790,446186266,701572124,685943853,650220213,103314768,73372788,89723261,76996815,96456470,105893888
North Dakota,3648905,4870907,1544102,3690827,5741371,10021012,12527732,17685747,10262222,15229372,18840418,23938500,21660071,19133742,23530070,49960606
South Dakota,2204412,6526296,5888968,9716031,10432046,29814769,34099475,95594252,30952613,32760444,19623949,42844096,70789304,77500274,48539157,39281446
Wyoming,4642697,10587972,7162589,25021695,20687978,13644450,14672896,16457709,19911709,5826076,6333546,4403383,3673154,12550082,15152891,19014795
Virgin Islands,0,42558,426552,0,17028681,2794880,6236504,201870,819312,474236,7998751,150885,6866311,424664,153660,5506781
District of Columbia,2082724,1447338,2046718,5541754,2113374,9144900,3670137,3986669,5934476,4959098,2554304,62535364,7725665,3204988,2389153,5277791
